นิติบุคคลจัดตั้งเดือนมกราคม  2558,,,,,,
ทั่วประเทศ,,,,,,
ที่,เลขทะเบียน,ชื่อนิติบุคคล,วันที่จดทะเบียน," ทุนจดทะเบียน
 (บาท) ",รายละเอียดวัตถุประสงค์,ที่ตั้งสำนักงานใหญ่
72,0105558009968,บจ.เหมือนแท้ คอร์เปอร์เรชั่น จำกัด,19/1/2558," 8,000,000 ",ประกอบกิจการดำเนินกิจการด้านอพาร์ทเม้นท์ให้เช่าเป็นรายวันและรายเดือน,17 ซอยพาณิชยการธนบุรี 20  แขวงวัดท่าพระ เขตบางกอกใหญ่ กรุงเทพมหานคร 10600
73,0105558010206,บจ.เดอะ ต๊าจ รอยัล อินเดีย จำกัด,19/1/2558," 8,000,000 ",ขายอาหาร เครื่องดื่ม,991 อาคารศูนย์การค้าสยามพารากอน ชั้น จี ถนนพระราม 1  แขวงปทุมวัน เขตปทุมวัน กรุงเทพมหานคร 10330
74,0103558001540,หจ.คริสตัล แฟชั่น เทรดดิ้ง,21/1/2558," 8,000,000 ",ประกอบกิจการค้า เสื้อผ้าสำเร็จรูป เครื่องประดับ,555 อาคารพาลาเดียม ชั้น เอ 3 ห้อง 447 ถนนราชปรารถ  แขวงมักกะสัน เขตราชเทวี กรุงเทพมหานคร 10400
75,0105558006853,บจ.ปิยเพชร คอนสตรัคชั่น แอนด์ อินทีเรีย จำกัด,14/1/2558," 8,000,000 ",การรับออกแบบ ตกแต่งในอาคาร บ้านเรือน งานฝ้า เพดาน กระจก อลูมิเนียม ตลอดทั้งเฟอร์นิเจอร์ทุกชนิด,120/239 หมู่บ้านอัมรินทร์นิเวศน์ 3 ผัง 3 ซอยสายไหม 20 ถนนสายไหม  แขวงสายไหม เขตสายไหม กรุงเทพมหานคร 10220
76,0105558015372,บจ.จาร์ดีน ชิปปิ้ง เซอร์วิสเซส (ประเทศไทย) จำกัด,27/1/2558," 8,000,000 ",ประกอบกิจการขนส่ง ขนถ่ายสินค้า และคนโดยสาร เป็นตัวแทนให้บริการขนส่งทางทะเล,246 อาคารไทมส์ สแควร์ ชั้น 23-24 ถนนสุขุมวิท  แขวงคลองเตย เขตคลองเตย กรุงเทพมหานคร 10110
77,0105558005644,บจ.แอฟโพรโซน (ไทยแลนด์) จำกัด,12/1/2558," 6,000,000 ",ประกอบกิจการนำเข้า ส่งออก จัดจำหน่ายผลิตภัณฑ์เสริมความงาม,559/17 หมู่บ้านบ้านกลางเมือง รัชดา 36 ซอยเสือใหญ่อุทิศ  แขวงจันทรเกษม เขตจตุจักร กรุงเทพมหานคร 10900
78,0105558000961,บจ.วีอาร์ที ซอฟท์แวร์ จำกัด,5/1/2558," 6,000,000 ",พัฒนาซอฟแวร์,88/39 ซอยบรมราชชนนี 62/4  แขวงศาลาธรรมสพน์ เขตทวีวัฒนา กรุงเทพมหานคร 10170
79,0105558012322,บจ.กิตติสัมพันธ์ คอนกรีต (2558) จำกัด,22/1/2558," 6,000,000 ",ประกอบกิจการค้าวัสดุก่อสร้าง,3/204 ซอยสายไหม 46  แขวงสายไหม เขตสายไหม กรุงเทพมหานคร 10220
80,0105558011768,บจ.บางปู คัตติ้ง ทูลส์ (ประเทศไทย) จำกัด,21/1/2558," 6,000,000 ",ประกอบกิจการนำเข้า ส่งออก บริการและจำหน่าย อะไหล่ อุปกรณ์ เครื่องมือ เครื่องจักรกลประเภทเครื่องตัด,"39,41 ซอยรามคำแหง 68 (สุภาพงษ์)  แขวงหัวหมาก เขตบางกะปิ กรุงเทพมหานคร 10240"
81,0105558014503,บจ.บาร์ล็อกซ์ ล็อก จำกัด,26/1/2558," 6,000,000 ",การขนส่งและขนถ่ายสินค้ารวมถึงคนโดยสารทั้งในประเทศและระหว่างประเทศ,25 ซอยบางนา-ตราด 38 ถนนบางนา-ตราด  แขวงบางนา เขตบางนา กรุงเทพมหานคร 10260
82,0105558016484,บจ.ปุคซินี จำกัด,28/1/2558," 6,000,000 ",ประกอบกิจการร้านอาหาร ภัตตาคาร,10/97 อาคารเดอะ เทรนดี้ ชั้นที่ 6 ซอยสุขุมวิท 13 ถนนสุขุมวิท  แขวงคลองเตยเหนือ เขตวัฒนา กรุงเทพมหานคร 10110
83,0105558018673,บจ.จีโอมาร์ (ไทยแลนด์) จำกัด,30/1/2558," 6,000,000 ",ประกอบกิจการ การซื้อ การขาย พัฒนาด้านอสังหาริมทรัพย์และที่ดิน,142 อาคารทูแปซิฟิคเพลส ชั้น 14 ห้อง 1406-7 ถนนสุขุมวิท  แขวงคลองเตย เขตคลองเตย กรุงเทพมหานคร 10110
84,0105558008775,บจ.ไทยเจตนาก่อสร้าง จำกัด,16/1/2558," 5,500,000 ",ประกอบกิจการรับเหมาก่อสร้างทุกชนิดให้แก่ส่วนราชการ และรัฐวิสาหกิจด้วยระบบอิเล็กทรอนิกส์,41/1 ซอยพุทธบูชา 39 แยก 1-1  แขวงบางมด เขตทุ่งครุ กรุงเทพมหานคร 10140
85,0105558016816,บจ.ขุมทรัพย์สิบแสน จำกัด,29/1/2558," 5,000,000 ",ประกอบกิจการให้บริการจัดสรรบ้านและที่ดิน,147/90 ถนนบรมราชชนนี  แขวงอรุณอมรินทร์ เขตบางกอกน้อย กรุงเทพมหานคร 10700
